A,B,C,D,E,Target
0.3909,0.5027,0.1685,0.3112,0.9012,2.3569
0.5669,0.5794,0.8661,0.4594,0.1715,1.8423
0.7327,0.3182,0.5456,0.2372,0.7583,2.3834
0.4273,0.3423,0.5325,0.9932,0.2687,2.0924
0.9746,0.4396,0.6332,0.9343,0.8724,3.6999
0.9662,0.1181,0.8422,0.586,0.8372,2.5198
0.3266,0.3899,0.413,0.8578,0.5867,2.1443
0.5475,0.2903,0.7102,0.5689,0.7392,1.8612
0.3708,0.3947,0.6092,0.6612,0.3829,1.7752
0.3564,0.2078,0.3403,0.1802,0.5241,1.2357
0.1332,0.9015,0.8908,0.7797,0.8395,2.0402
0.6486,0.6342,0.8177,0.2149,0.5133,2.2156
0.5524,0.7112,0.6926,0.8435,0.422,2.8303
0.1463,0.8103,0.8655,0.8038,0.5448,1.7543
0.3508,0.5486,0.8806,0.7379,0.8454,1.8864
0.9174,0.1782,0.7375,0.1325,0.4017,2.0516
0.3156,0.5834,0.8533,0.3728,0.2564,1.2288
0.2304,0.6282,0.7277,0.3368,0.7408,1.544
0.5405,0.7709,0.7121,0.4241,0.8434,2.6621
0.9871,0.4885,0.6568,0.1789,0.1906,2.8037
0.3178,0.2148,0.7774,0.9433,0.3159,1.2055
0.7049,0.3554,0.2427,0.5984,0.2278,2.6351
0.7855,0.4268,0.8928,0.375,0.4131,2.195
0.3139,0.6813,0.8847,0.4573,0.5053,1.7343
0.7554,0.6137,0.1263,0.5025,0.7739,3.72
0.431,0.4205,0.8432,0.6405,0.686,1.741
0.6691,0.9879,0.216,0.5641,0.6588,4.0156
0.6702,0.6452,0.4016,0.9275,0.4171,3.3993
0.5822,0.3135,0.7692,0.5473,0.8573,2.0454
0.1813,0.1916,0.2447,0.9929,0.5242,1.6011
0.8518,0.2376,0.8362,0.8663,0.9812,2.8796
0.3887,0.3214,0.8489,0.2877,0.6707,1.1615
0.2679,0.2446,0.5567,0.9375,0.2136,1.4284
0.1367,0.2679,0.1057,0.2047,0.7086,1.2575
0.6318,0.3566,0.3583,0.8357,0.3926,2.7408
0.7098,0.256,0.6552,0.4426,0.7177,2.2399
0.1149,0.9071,0.9831,0.8902,0.1627,1.6525
0.5609,0.1722,0.6686,0.8813,0.2574,1.8139
0.3038,0.5721,0.3338,0.8253,0.8702,2.5379
0.6807,0.4694,0.6706,0.811,0.3045,2.629
0.2569,0.9841,0.586,0.3742,0.8533,2.5515
0.7218,0.2008,0.8019,0.1728,0.3513,1.4731
0.4481,0.4581,0.1963,0.4627,0.6786,2.3915
0.9431,0.9725,0.7849,0.2562,0.7247,3.7674
0.2238,0.879,0.5871,0.7255,0.5614,2.3731
0.407,0.8354,0.9667,0.4115,0.3748,1.9274
0.2021,0.3321,0.4077,0.978,0.2914,1.652
0.9322,0.2538,0.6694,0.6769,0.1299,2.6471
0.8896,0.7018,0.9388,0.8402,0.3736,3.3781
0.3321,0.9364,0.1923,0.2193,0.6878,2.7465
0.694,0.6011,0.9435,0.8758,0.9445,2.9038
0.8355,0.6145,0.7191,0.9305,0.8841,3.6062
0.5997,0.352,0.1611,0.5384,0.7895,2.7366
0.5767,0.7925,0.3709,0.6456,0.8096,3.4003
0.3177,0.2683,0.7374,0.7883,0.6985,1.5342
0.1838,0.3913,0.1606,0.2574,0.3343,1.3709
0.9075,0.4829,0.624,0.5523,0.9165,3.356
0.9104,0.5568,0.4113,0.4588,0.7037,3.4865
0.6698,0.3182,0.6588,0.2317,0.6044,1.9365
0.4051,0.2034,0.1412,0.4308,0.1999,1.6783
0.4143,0.6496,0.8844,0.1614,0.5023,1.5242
0.7534,0.3598,0.9761,0.1232,0.5143,1.7918
0.9074,0.6231,0.972,0.2216,0.8781,2.8901
0.8984,0.2389,0.7747,0.9668,0.592,2.8569
0.8019,0.533,0.2171,0.5946,0.4424,3.4723
0.6778,0.5793,0.7824,0.9692,0.9791,3.1852
0.1757,0.1466,0.1221,0.4892,0.1996,1.1539
0.2455,0.4029,0.1199,0.3806,0.4803,1.8568
0.9087,0.221,0.3912,0.5555,0.1378,2.7181
0.6458,0.157,0.5398,0.4956,0.7659,2.0378
0.1083,0.991,0.7934,0.1951,0.9263,1.6782
0.1913,0.3901,0.715,0.6767,0.352,1.096
0.6972,0.8289,0.5013,0.2944,0.8725,3.3579
0.1046,0.3292,0.3463,0.6576,0.363,1.2611
0.2447,0.7134,0.9974,0.6852,0.9197,1.7717
0.5939,0.7842,0.4836,0.2368,0.7786,2.9024
0.7227,0.6361,0.5062,0.1552,0.8244,2.9037
0.6868,0.5244,0.2473,0.8027,0.1162,3.1029
0.3018,0.4707,0.8153,0.5138,0.9665,1.6736
0.741,0.414,0.7243,0.1523,0.754,2.1621
0.3135,0.9366,0.2987,0.9954,0.3743,3.2034
0.3929,0.8476,0.1741,0.152,0.8465,2.96
0.7718,0.9685,0.7124,0.7255,0.3534,3.648
0.6847,0.2119,0.6891,0.9853,0.8855,2.5862
0.8643,0.7578,0.3459,0.3153,0.2013,3.4762
0.6919,0.9445,0.9558,0.228,0.7333,2.8457
0.6115,0.2631,0.236,0.2092,0.5866,2.2694
0.1843,0.1598,0.4891,0.3729,0.1869,0.4801
0.4309,0.767,0.9493,0.1909,0.3177,1.7262
0.3387,0.617,0.4778,0.7229,0.1112,2.0191
0.3196,0.8576,0.6747,0.1561,0.5219,1.9212
0.9757,0.2258,0.4578,0.5585,0.3711,2.963
0.4538,0.8157,0.3468,0.997,0.6385,3.4327
0.9028,0.2815,0.9856,0.8326,0.3675,2.4342
0.668,0.2473,0.4684,0.6537,0.3699,2.3495
0.8153,0.2478,0.9047,0.3756,0.7689,2.2225
0.5524,0.8331,0.307,0.6615,0.1433,3.1111
0.6192,0.6987,0.2918,0.5743,0.9126,3.4382
0.5433,0.5708,0.128,0.4835,0.867,3.0675
0.2757,0.4229,0.6865,0.2176,0.701,1.1945
0.7502,0.8895,0.4317,0.8979,0.6339,4.0846
0.3527,0.4532,0.8779,0.5048,0.9031,1.5178
0.1219,0.8349,0.5259,0.2752,0.2668,1.582
0.6809,0.4952,0.9714,0.431,0.1711,1.9917
0.2594,0.4392,0.267,0.4727,0.3156,1.6925
0.9464,0.5164,0.8818,0.8448,0.8151,3.4413
0.9585,0.3712,0.7989,0.7603,0.1312,2.791
0.9234,0.7728,0.7938,0.7924,0.6245,3.7246
0.4331,0.5524,0.8603,0.1099,0.9959,1.6654
0.1139,0.309,0.7849,0.4745,0.8701,0.8354
0.9355,0.9096,0.6636,0.5332,0.5693,3.962
0.4854,0.4455,0.2181,0.1173,0.1573,1.9221
0.97,0.5892,0.1293,0.3338,0.8482,4.0549
0.9673,0.9158,0.9288,0.7843,0.6391,3.915
0.8677,0.6618,0.655,0.2234,0.2034,2.9076
0.365,0.2052,0.8169,0.5818,0.1845,0.9616
0.4466,0.9458,0.5334,0.2937,0.9187,2.88
0.866,0.6649,0.2056,0.1109,0.7023,3.5427
0.3852,0.4014,0.2127,0.3171,0.8464,2.1523
0.2525,0.2253,0.717,0.9783,0.8911,1.4807
0.6011,0.8146,0.4873,0.8214,0.6146,3.4276
0.9425,0.6581,0.2805,0.9636,0.5657,4.4594
0.7264,0.5801,0.5424,0.5391,0.4874,2.9259
0.6131,0.9045,0.1578,0.1988,0.3853,3.325
0.1875,0.8097,0.6238,0.5932,0.4911,1.9247
0.6535,0.2365,0.3421,0.5089,0.7965,2.5425
0.991,0.3805,0.8178,0.8599,0.6417,3.267
0.2261,0.3236,0.3793,0.1883,0.9033,1.2812
0.5665,0.7696,0.5097,0.5394,0.499,2.9909
0.8896,0.1302,0.1105,0.235,0.6464,2.9316
0.7667,0.6129,0.1652,0.3922,0.6682,3.4788
0.7273,0.7862,0.4532,0.7636,0.6325,3.5998
0.7322,0.8891,0.5319,0.5284,0.7324,3.6848
0.4235,0.4079,0.64,0.4383,0.3137,1.5421
0.3642,0.8391,0.3625,0.455,0.5611,2.7156
0.8284,0.1996,0.7255,0.5135,0.1938,2.0203
0.8291,0.8618,0.8741,0.8065,0.4461,3.5686
0.8804,0.2147,0.8019,0.9029,0.5389,2.6467
0.9219,0.4576,0.1357,0.9598,0.687,4.2095
0.5602,0.8176,0.5325,0.8082,0.9555,3.439
0.5514,0.2349,0.1944,0.3839,0.6406,2.186
0.8185,0.3063,0.3178,0.7193,0.7692,3.2278
0.685,0.75,0.988,0.4938,0.5556,2.6335
0.7318,0.748,0.2282,0.3292,0.6707,3.5389
0.8162,0.677,0.549,0.8568,0.1638,3.4826
0.901,0.7246,0.6563,0.1346,0.329,3.1535
0.4042,0.5885,0.7322,0.9116,0.4257,2.1461
0.438,0.3266,0.6037,0.5153,0.5252,1.7658
0.1846,0.4111,0.1088,0.6735,0.1411,1.7528
0.6205,0.2634,0.3938,0.6934,0.226,2.2449
0.1323,0.9176,0.5659,0.9056,0.3491,2.2265
0.519,0.6251,0.1791,0.673,0.9744,3.2912
0.5884,0.4608,0.4156,0.6525,0.3982,2.6341
0.3579,0.5158,0.1299,0.16,0.5338,2.0718
0.6317,0.9526,0.1707,0.5666,0.2765,3.8128
0.1275,0.238,0.4572,0.2352,0.6497,0.6623
0.1336,0.6276,0.2194,0.7637,0.3526,2.0634
0.8403,0.5553,0.6108,0.561,0.2863,2.9529
0.4242,0.6503,0.7205,0.7122,0.5649,2.308
0.2144,0.1163,0.8205,0.1375,0.105,-0.0188
0.57,0.8849,0.2801,0.1763,0.1069,2.8728
0.793,0.9389,0.2507,0.7447,0.2972,4.0602
0.2942,0.6086,0.1941,0.1649,0.133,1.823
0.6606,0.727,0.6728,0.1641,0.1972,2.4209
0.1768,0.9302,0.7358,0.1109,0.405,1.556
0.1465,0.7365,0.1284,0.9609,0.8223,2.8756
0.5782,0.2373,0.9426,0.7638,0.6148,1.6828
0.5866,0.6187,0.1468,0.4179,0.5614,3.0947
0.6737,0.646,0.5872,0.3669,0.3641,2.7144
0.7535,0.4817,0.7382,0.4147,0.9386,2.6186
0.9783,0.7628,0.8839,0.7972,0.4573,3.7202
0.5647,0.9409,0.7427,0.6952,0.1784,2.9038
0.3907,0.933,0.8216,0.2667,0.6554,2.2338
0.8157,0.5058,0.4055,0.2567,0.2025,2.8126
0.3437,0.2019,0.8333,0.1886,0.4107,0.5735
0.4951,0.9864,0.1721,0.6943,0.5567,3.676
0.1706,0.855,0.9053,0.7879,0.8868,2.0334
0.1228,0.2122,0.5928,0.3385,0.5442,0.5
0.9664,0.9288,0.8356,0.1189,0.732,3.5037
0.8524,0.8829,0.5071,0.174,0.9935,3.799
0.7264,0.567,0.6792,0.9711,0.2183,2.9471
0.4681,0.6321,0.5738,0.3659,0.3473,2.1558
0.256,0.4591,0.7584,0.7923,0.4551,1.5199
0.2408,0.1493,0.1735,0.6622,0.4796,1.412
0.3252,0.4017,0.1543,0.4437,0.4699,1.9513
0.5943,0.8226,0.3224,0.2851,0.9168,3.3542
0.7431,0.1042,0.2436,0.2092,0.7426,2.2636
0.6942,0.4001,0.8846,0.6535,0.6471,2.2827
0.3519,0.4584,0.2973,0.7972,0.3784,2.2779
0.9594,0.5837,0.9783,0.6795,0.8414,3.3465
0.7641,0.9279,0.4032,0.5773,0.9596,4.0833
0.5989,0.4117,0.2639,0.1378,0.8391,2.4353
0.6505,0.4123,0.8107,0.9716,0.1014,2.3919
0.4776,0.7638,0.6928,0.8188,0.6728,2.8977
0.323,0.507,0.5484,0.3635,0.146,1.5111
0.4204,0.3021,0.5998,0.982,0.3318,1.929
0.7821,0.5072,0.7473,0.6417,0.1536,2.5853
0.113,0.2268,0.3056,0.6242,0.6434,1.1658
0.2045,0.2587,0.9967,0.7733,0.7179,0.8619
0.1414,0.5485,0.9773,0.8306,0.203,1.0381
0.1367,0.477,0.6853,0.6908,0.4455,1.2925
0.8699,0.9234,0.2796,0.2153,0.5106,3.9829
0.7333,0.4262,0.7122,0.4044,0.4321,2.2506
0.5268,0.6225,0.165,0.9353,0.2089,3.2383
0.1881,0.669,0.1276,0.3022,0.4771,1.9819
0.5425,0.1118,0.3319,0.435,0.7761,1.9193
0.5261,0.6972,0.5164,0.4889,0.1639,2.4851
0.2559,0.2602,0.8814,0.4955,0.1722,0.6822
0.4905,0.965,0.7545,0.6516,0.4193,3.0094
0.4587,0.2338,0.7684,0.9488,0.9476,2.0034
0.6543,0.4732,0.4829,0.3166,0.7017,2.5345
0.6716,0.1768,0.4113,0.2094,0.7108,2.0742
0.1408,0.9972,0.4339,0.2777,0.4257,2.1333
0.4372,0.552,0.9889,0.8982,0.6343,2.0093
0.6633,0.6358,0.1361,0.6812,0.1091,3.3968
0.5528,0.1604,0.8803,0.3573,0.6725,1.2837
0.8708,0.775,0.6208,0.8344,0.922,4.0639
0.6928,0.2889,0.4948,0.8752,0.6513,2.8051
0.2466,0.9082,0.7527,0.8619,0.8863,2.5881
0.1635,0.2846,0.538,0.927,0.7516,1.5276
0.6782,0.2716,0.8861,0.327,0.2085,1.4888
0.1239,0.1329,0.9106,0.7795,0.9122,0.5859
0.6272,0.5249,0.4795,0.5145,0.1598,2.4252
0.9462,0.6084,0.3491,0.8578,0.5806,4.1259
0.6179,0.1591,0.6331,0.7556,0.2279,1.9045
0.4494,0.798,0.9211,0.7988,0.1105,2.2515
0.679,0.508,0.2896,0.6905,0.4798,3.2093
0.5124,0.572,0.6607,0.2597,0.3655,1.934
0.5911,0.4967,0.6684,0.5905,0.5374,2.4032
0.9473,0.4607,0.7598,0.9862,0.6195,3.4285
0.4475,0.6037,0.2184,0.9436,0.1394,2.8429
0.9651,0.2397,0.7442,0.1389,0.2107,2.2162
0.9148,0.2637,0.9181,0.2483,0.6028,2.2274
0.2762,0.8756,0.2617,0.2186,0.4089,2.339
0.1624,0.9515,0.3138,0.7534,0.7563,2.7948
0.1907,0.436,0.9743,0.836,0.6871,1.1124
0.1164,0.3437,0.2629,0.2922,0.861,1.2698
0.185,0.6796,0.8689,0.5553,0.7232,1.5489
0.7147,0.4679,0.5431,0.8566,0.4869,3.0205
0.1641,0.1228,0.3225,0.7595,0.7057,1.3057
0.3871,0.2405,0.8837,0.588,0.3478,1.0459
0.8604,0.7444,0.5008,0.6313,0.3757,3.6463
0.1209,0.693,0.5633,0.5575,0.8101,1.7476
0.833,0.1244,0.4233,0.3678,0.5018,2.4153
0.3537,0.2998,0.6337,0.6085,0.8185,1.6414
0.2063,0.308,0.2472,0.72,0.8402,1.8663
0.7271,0.7047,0.452,0.886,0.8718,3.7507
0.666,0.1177,0.9725,0.6727,0.925,1.6703
0.8897,0.1937,0.3323,0.785,0.4879,3.1795
0.7616,0.8199,0.6911,0.2441,0.387,2.9397
0.8231,0.2607,0.3927,0.5154,0.624,2.7886
0.3538,0.6875,0.7961,0.1084,0.4341,1.5159
0.2597,0.3144,0.2178,0.322,0.641,1.5444
0.7756,0.1895,0.9728,0.7538,0.735,2.2115
0.8262,0.3189,0.5084,0.9926,0.7196,3.3132
0.9915,0.75,0.3124,0.1893,0.4371,3.8768
0.4714,0.8701,0.1661,0.4613,0.2502,3.0172
0.4348,0.8472,0.2528,0.8201,0.4875,3.3511
0.7988,0.4575,0.5678,0.2836,0.2283,2.5215
0.4067,0.7013,0.4033,0.5996,0.9011,2.7668
0.9377,0.2845,0.846,0.7598,0.4113,2.7377
0.8726,0.3638,0.4878,0.6544,0.239,2.8706
0.4861,0.9067,0.3238,0.2692,0.1229,2.7829
0.7758,0.1117,0.6554,0.4198,0.6812,2.021
0.7791,0.177,0.7361,0.8054,0.6732,2.3768
0.1928,0.2871,0.2503,0.5988,0.4065,1.3645
0.9123,0.1239,0.2509,0.1047,0.1645,2.4348
0.5547,0.2633,0.133,0.7849,0.4687,2.6104
0.8438,0.6247,0.7628,0.1318,0.3801,2.7041
0.388,0.4793,0.6974,0.7712,0.7094,2.0179
0.906,0.9034,0.5272,0.2822,0.6452,3.7497
0.4503,0.8357,0.8598,0.9623,0.4281,2.6225
0.1098,0.4076,0.8251,0.4311,0.2961,0.6159
0.9148,0.3335,0.6268,0.3942,0.9892,2.9768
0.1822,0.4417,0.8814,0.234,0.5086,0.6302
0.3874,0.6313,0.2853,0.375,0.7194,2.4677
0.9551,0.3413,0.2007,0.889,0.2265,3.6995
0.9555,0.6617,0.3428,0.9967,0.537,4.3901
0.6161,0.4685,0.1514,0.4315,0.1248,2.725
0.6687,0.5968,0.5781,0.5037,0.5549,2.7651
0.5036,0.4925,0.9429,0.7499,0.9676,2.1064
0.3639,0.365,0.1354,0.8976,0.4458,2.4143
0.3958,0.9536,0.2099,0.6337,0.1351,3.105
0.7053,0.7872,0.507,0.4524,0.1279,2.9947
0.7771,0.2261,0.9405,0.4714,0.4492,1.8222
0.8124,0.8816,0.3845,0.7261,0.244,3.9492
0.8107,0.5387,0.5565,0.1029,0.121,2.4791
0.1821,0.9051,0.1374,0.6576,0.7806,2.9033
0.545,0.8199,0.2335,0.4199,0.5127,3.1544
0.1518,0.4827,0.988,0.8148,0.3603,0.9647
0.5946,0.1202,0.9686,0.1837,0.9101,1.1147
0.4974,0.3418,0.1044,0.6294,0.2045,2.4466
0.8989,0.5875,0.9566,0.5329,0.9603,3.1683
0.4158,0.6701,0.6752,0.6781,0.3826,2.1448
0.2054,0.3321,0.8811,0.1584,0.8996,0.5997
0.2287,0.2254,0.5093,0.622,0.6426,1.1727
0.7854,0.8514,0.564,0.6053,0.844,3.7535
0.6564,0.986,0.54,0.6046,0.9856,3.8005
0.191,0.5731,0.7002,0.6431,0.3596,1.3551
0.1757,0.2545,0.2257,0.7088,0.965,1.7009
0.7309,0.3451,0.127,0.8245,0.4505,3.2131
0.1655,0.1166,0.3771,0.3428,0.447,0.7133
0.8397,0.9229,0.7342,0.8425,0.4063,3.8442
0.7356,0.206,0.2817,0.5484,0.5873,2.6229
0.1732,0.6189,0.7061,0.1694,0.2387,0.9803
0.1764,0.3466,0.9729,0.1527,0.5983,0.3066
0.988,0.5988,0.1845,0.4008,0.5875,3.9672
0.4368,0.6863,0.7053,0.8064,0.7857,2.6833
0.4336,0.8468,0.4994,0.7369,0.8503,3.1643
0.8315,0.2858,0.8813,0.8098,0.4964,2.4476
0.9525,0.1099,0.2594,0.5655,0.3721,3.0043
0.9874,0.2232,0.7234,0.4962,0.3334,2.6561
0.778,0.91,0.8543,0.2327,0.2752,2.8476
0.4386,0.8865,0.9502,0.3954,0.1519,2.0248
0.1752,0.6377,0.7149,0.4906,0.4082,1.4503
0.7994,0.6405,0.5475,0.1797,0.3432,2.7717
0.6026,0.6985,0.6561,0.2986,0.9698,2.6842
0.4818,0.2578,0.882,0.6384,0.6019,1.5366
0.9157,0.923,0.6135,0.7621,0.4125,4.1201
0.2001,0.4769,0.1273,0.9985,0.6224,2.4432
0.5434,0.4448,0.9379,0.9398,0.2253,2.0092
0.1102,0.567,0.7206,0.6783,0.4996,1.3113
0.5218,0.1423,0.7089,0.4791,0.6636,1.4066
0.1507,0.2497,0.2941,0.6726,0.54,1.4008
0.2069,0.7642,0.693,0.8071,0.4616,2.077
0.2058,0.1745,0.4545,0.2065,0.9945,0.9548
0.6843,0.6428,0.6861,0.4689,0.8923,2.9105
0.7714,0.3208,0.1959,0.8558,0.6611,3.2952
0.625,0.4504,0.6921,0.4454,0.6124,2.2756
0.966,0.3598,0.9995,0.6147,0.6586,2.7743
0.4374,0.4201,0.1434,0.629,0.2812,2.3812
0.3571,0.7471,0.9795,0.266,0.4556,1.5858
0.8817,0.3674,0.4662,0.426,0.1355,2.7407
0.3012,0.6098,0.8837,0.4011,0.528,1.4434
0.9669,0.5284,0.8041,0.1236,0.5887,2.7581
0.1109,0.6973,0.6103,0.1218,0.305,1.061
0.9729,0.9431,0.7646,0.8485,0.9676,4.4511
0.1388,0.7593,0.8907,0.3458,0.9185,1.4268
0.902,0.2934,0.4637,0.5663,0.7499,3.0929
0.5749,0.1281,0.3943,0.3689,0.58,1.8101
